date_time,precipMM,maxtempC,mintempC,humidity,pressure,tempC,visibility,windspeedKmph,winddirDegree,cloudcover,WindGustKmph,WindChillC,totalSnow_cm,sunHour,uvIndex,year,month,day,is_rainy
2009-03-10,0.9,25.0,20.0,70.79166666666667,1013.7083333333334,21.541666666666668,9.875,12.916666666666666,83.125,48.083333333333336,16.708333333333332,21.875,0.0,10.2,5.0,2009,3,10,True
2009-03-11,6.6,28.0,19.0,78.75,1013.375,22.666666666666668,9.5,7.5,116.125,69.29166666666667,10.5,22.833333333333332,0.0,8.8,6.0,2009,3,11,True
2009-03-12,8.0,22.0,20.0,89.5,1012.7083333333334,21.208333333333332,9.625,5.5,163.95833333333334,46.166666666666664,8.125,21.708333333333332,0.0,10.2,5.0,2009,3,12,True
2009-03-13,0.0,30.0,19.0,60.291666666666664,1013.5,23.916666666666668,10.0,9.708333333333334,125.33333333333333,22.25,14.625,24.708333333333332,0.0,11.6,6.0,2009,3,13,False
2009-03-14,0.6000000000000001,30.0,20.0,61.0,1013.0,24.25,9.875,9.833333333333334,144.33333333333334,25.791666666666668,14.125,24.958333333333332,0.0,11.6,6.0,2009,3,14,True
2009-03-15,1.0,31.0,19.0,64.08333333333333,1012.6666666666666,23.166666666666668,9.958333333333334,4.291666666666667,222.54166666666666,37.0,6.125,24.083333333333332,0.0,8.8,5.0,2009,3,15,True
2009-03-16,0.7,32.0,19.0,52.375,1011.0833333333334,24.875,9.916666666666666,7.875,122.45833333333333,14.083333333333334,12.208333333333334,25.625,0.0,11.6,5.0,2009,3,16,True
2009-03-17,0.0,32.0,18.0,45.333333333333336,1011.125,25.375,10.0,8.333333333333334,146.375,7.166666666666667,12.166666666666666,26.458333333333332,0.0,11.6,7.0,2009,3,17,False
2009-03-18,0.0,33.0,19.0,40.041666666666664,1010.9583333333334,25.958333333333332,10.0,8.541666666666666,122.5,5.583333333333333,12.166666666666666,27.125,0.0,11.6,7.0,2009,3,18,False
2009-03-19,0.0,34.0,18.0,41.166666666666664,1010.75,25.458333333333332,10.0,9.791666666666666,132.41666666666666,2.625,14.333333333333334,26.708333333333332,0.0,11.6,7.0,2009,3,19,False
2009-03-20,0.0,35.0,18.0,35.958333333333336,1010.5833333333334,26.333333333333332,10.0,7.166666666666667,184.91666666666666,2.125,10.083333333333334,28.416666666666668,0.0,11.6,7.0,2009,3,20,False
